Blood Moon Converge,Converge & Chelsea Wolfe,Blood Moon,False
Tongues Playing Dead Converge,Converge & Chelsea Wolfe,Tongues Playing Dead,False
Lord of Liars Converge,Converge & Chelsea Wolfe,Lord of Liars,False
DANCE-OFF Turnstile,Turnstile,DANCE-OFF,False
WILD WRLD Turnstile,Turnstile,WILD WRLD,False
A Higher Level of Hate Fit For An Autopsy,Fit for an Autopsy,A Higher Level of Hate,False
Conditional Healing Fit For An Autopsy,Fit for an Autopsy,Conditional Healing,True
Savages Fit For An Autopsy,Fit for an Autopsy,Savages,True
Collateral Damage Fit For An Autopsy,Fit for an Autopsy,Collateral Damage,False
The Man That I Was Not Fit For An Autopsy,Fit for an Autopsy,The Man That I Was Not,False
Far From Heaven Fit For An Autopsy,Fit for an Autopsy,Far from Heaven,False
Pandora Fit For An Autopsy,Fit for an Autopsy,Pandora,False
DON'T PLAY Turnstile,Turnstile,DON’T PLAY,False
ENDLESS Turnstile,Turnstile,ENDLESS,False
FLY AGAIN Turnstile,Turnstile,FLY AGAIN,False
T.L.C. (TURNSTILE LOVE CONNECTION) Turnstile,Not Found,Not Found,False
Watchtower The Devil Wears Prada,The Devil Wears Prada,Watchtower,False
Glitches Every Time I Die,Every Time I Die,Glitches,False
C++ (Love Will Get You Killed Every Time I Die,Not Found,Not Found,False
Two Summers Every Time I Die,Every Time I Die,Two Summers,True
Awful Lot Every Time I Die,Every Time I Die,Awful Lot,False
I Didn't Want To Join Your Stupid Cult Anyway Every Time I Die,Every Time I Die,I Didn’t Want to Join Your Stupid Cult Anyway,True
It Remembers Every Time I Die,Every Time I Die,It Remembers,False
Petal Every Time I Die,Every Time I Die,Petal,False
The Coin Has A Say Every Time I Die,Every Time I Die,The Coin Has a Say,True
Map Change Every Time I Die,Every Time I Die,Map Change,False
The Abysmal Eye Meshuggah,Meshuggah,The Abysmal Eye,False
In Shadows Fit For An Autopsy,Fit for an Autopsy,In Shadows,False
The Well Silent Planet,Silent Planet,The Well,False
XX (City Grave) Silent Planet,Jamie xx,I Know There’s Gonna Be (Good Times),True
Darkstrand (Hibakusha) Silent Planet,Silent Planet,Darkstrand (Hibakusha),False
Dying In Circles Silent Planet,Silent Planet,Dying in Circles,False
Panic Room Silent Planet,Silent Planet,Panic Room,False
Nervosa Silent Planet,Silent Planet,Nervosa,False
Orphan Silent Planet,Silent Planet,Orphan,False
The New Eternity Silent Planet,Silent Planet,The New Eternity,False
Afterdusk Silent Planet,Silent Planet,Afterdusk,False
Lower Empire Silent Planet,Silent Planet,Lower Empire,False
Trilogy Silent Planet,Silent Planet,Trilogy,False
Second Sun Silent Planet,Silent Planet,Second Sun,False
"Alive, as a Housefire Silent Planet",Silent Planet,"Alive, as a Housefire",False
Translate The Night Silent Planet,Silent Planet,Translate the Night,False
Till We Have Faces Silent Planet,Silent Planet,Till We Have Faces,False
Slaughter Forever To The Grave,To The Grave,Slaughter Forever,True
Cycle [feat. Ghostmane] Underoath,Underoath,Cycle,True
We're All Gonna Die Underoath,Underoath,We’re All Gonna Die,True
Cardinal Red Monuments,Monuments,Cardinal Red,False
Nemesis Venom Prison,Venom Prison,Nemesis,False
