Blood Moon Converge,Converge & Chelsea Wolfe,Blood Moon,False
Tongues Playing Dead Converge,Converge & Chelsea Wolfe,Tongues Playing Dead,False
Lord of Liars Converge,Converge & Chelsea Wolfe,Lord of Liars,False
DANCE-OFF Turnstile,Turnstile,DANCE-OFF,False
WILD WRLD Turnstile,Turnstile,WILD WRLD,False
A Higher Level of Hate Fit For An Autopsy,Fit for an Autopsy,A Higher Level of Hate,False
Conditional Healing Fit For An Autopsy,Fit for an Autopsy,Conditional Healing,True
Savages Fit For An Autopsy,Fit for an Autopsy,Savages,True
Collateral Damage Fit For An Autopsy,Fit for an Autopsy,Collateral Damage,False
The Man That I Was Not Fit For An Autopsy,Fit for an Autopsy,The Man That I Was Not,False
Far From Heaven Fit For An Autopsy,Fit for an Autopsy,Far from Heaven,False
Pandora Fit For An Autopsy,Fit for an Autopsy,Pandora,False
DON'T PLAY Turnstile,Turnstile,DON’T PLAY,False
ENDLESS Turnstile,Turnstile,ENDLESS,False
FLY AGAIN Turnstile,Turnstile,FLY AGAIN,False
T.L.C. (TURNSTILE LOVE CONNECTION) Turnstile,Not Found,Not Found,False
Watchtower The Devil Wears Prada,The Devil Wears Prada,Watchtower,False
Glitches Every Time I Die,Every Time I Die,Glitches,False
C++ (Love Will Get You Killed Every Time I Die,Not Found,Not Found,False
Two Summers Every Time I Die,Every Time I Die,Two Summers,True
Awful Lot Every Time I Die,Every Time I Die,Awful Lot,False
I Didn't Want To Join Your Stupid Cult Anyway Every Time I Die,Every Time I Die,I Didn’t Want to Join Your Stupid Cult Anyway,True
It Remembers Every Time I Die,Every Time I Die,It Remembers,False
Petal Every Time I Die,Every Time I Die,Petal,False
The Coin Has A Say Every Time I Die,Every Time I Die,The Coin Has a Say,True
Map Change Every Time I Die,Every Time I Die,Map Change,False
The Abysmal Eye Meshuggah,Meshuggah,The Abysmal Eye,False
In Shadows Fit For An Autopsy,Fit for an Autopsy,In Shadows,False
The Well Silent Planet,Silent Planet,The Well,False
XX (City Grave) Silent Planet,Jamie xx,I Know There’s Gonna Be (Good Times),True
Darkstrand (Hibakusha) Silent Planet,Silent Planet,Darkstrand (Hibakusha),False
Dying In Circles Silent Planet,Silent Planet,Dying in Circles,False
Panic Room Silent Planet,Silent Planet,Panic Room,False
Nervosa Silent Planet,Silent Planet,Nervosa,False
Orphan Silent Planet,Silent Planet,Orphan,False
The New Eternity Silent Planet,Silent Planet,The New Eternity,False
Afterdusk Silent Planet,Silent Planet,Afterdusk,False
Lower Empire Silent Planet,Silent Planet,Lower Empire,False
Trilogy Silent Planet,Silent Planet,Trilogy,False
Second Sun Silent Planet,Silent Planet,Second Sun,False
"Alive, as a Housefire Silent Planet",Silent Planet,"Alive, as a Housefire",False
Translate The Night Silent Planet,Silent Planet,Translate the Night,False
Till We Have Faces Silent Planet,Silent Planet,Till We Have Faces,False
Slaughter Forever To The Grave,To The Grave,Slaughter Forever,True
Cycle [feat. Ghostmane] Underoath,Underoath,Cycle,True
We're All Gonna Die Underoath,Underoath,We’re All Gonna Die,True
Cardinal Red Monuments,Monuments,Cardinal Red,False
Nemesis Venom Prison,Venom Prison,Nemesis,False
Comfort of Complicity Venom Prison,Venom Prison,Comfort of Complicity,False
Golden Apples of the Hesperides Venom Prison,Venom Prison,Golden Apples of the Hesperides,False
Judges of the Underworld Venom Prison,Venom Prison,Judges of the Underworld,False
Revel in Fear Mass Worship,Mass Worship,Revel in Fear,False
Dunes of Bone Mass Worship,Mass Worship,Dunes of Bone,False
God Knows Knocked Loose,Knocked Loose,God Knows,False
Contorted in the Faille Knocked Loose,Knocked Loose,Contorted in the Faille,False
Return to Passion Knocked Loose,Knocked Loose,Return to Passion,False
Permanent Knocked Loose,Knocked Loose,Permanent,False
Wings of Nightmares Counterparts,Counterparts,Wings of Nightmares,False
Paradise and Plague Counterparts,Counterparts,Paradise and Plague,False
The Hands That Used to Hold Me Counterparts,Counterparts,The Hands That Used to Hold Me,False
Your Own Knife Counterparts,Counterparts,Your Own Knife,False
Cherished Counterparts,Counterparts,Cherished,False
This Time Year of the Knife,Year of the Knife,This Time,False
Virtual Narcotic Year of the Knife,Year of the Knife,Virtual Narcotic,True
Stay Away Year of the Knife,Year of the Knife,Stay Away,True
Final Tears Year of the Knife,Year of the Knife,Final Tears,False
Internal Incarceration Year of the Knife,Year of the Knife,Internal Incarceration,False
Get It Out Year of the Knife,Year of the Knife,Get It Out,True
(Sic) Slipknot,Not Found,Not Found,False
Spit It Out Slipknot,Slipknot,Spit It Out,True
Eyeless Slipknot,Slipknot,Eyeless,True
Wait And Bleed Slipknot,Slipknot,Wait and Bleed,False
Surfacing Slipknot,Slipknot,Surfacing,True
No Life Slipknot,Slipknot,No Life,True
People = Shit Slipknot,Slipknot,People = Shit,True
Disasterpiece Slipknot,Slipknot,Disasterpiece,True
My Plague Slipknot,Slipknot,My Plague,True
Everything Ends Slipknot,Slipknot,Everything Ends,True
The Heretic Anthem Slipknot,Slipknot,The Heretic Anthem,True
The Shape Slipknot,Slipknot,The Shape,False
Left Behind Slipknot,Slipknot,Left Behind,False
The Blister Exists Slipknot,Slipknot,The Blister Exists,False
Duality Slipknot,Slipknot,Duality,True
Three Nil Slipknot,Slipknot,Three Nil,False
Before I Forget Slipknot,Slipknot,Before I Forget,False
Gematria (The Killing Name) Slipknot,Genius,April 2020 Album Release Calendar,False
Sulfur Slipknot,Slipknot,Sulfur,False
Psychosocial Slipknot,Slipknot,Psychosocial,False
This Cold Black Slipknot,Slipknot,This Cold Black,False
All Hope Is Gone Slipknot,Slipknot,All Hope Is Gone,False
Impenetrable Cerebral Fortress Gulch,Gulch,Impenetrable Cerebral Fortress,False
"Cries of Pleasure, Heavenly Pain Gulch",Gulch,"Cries of Pleasure, Heavenly Pain",False
Self-Inflicted Mental Terror Gulch,Gulch,Self-Inflicted Mental Terror,False
"Lie, Deny, Sanctify Gulch",Gulch,"Lie, Deny, Sanctify",True
All Fall Down the Well Gulch,Gulch,All Fall Down the Well,False
Fucked Up If True Soul Glo,SOUL GLO,Fucked Up If True,True
Jump!!(Or Get Jumped!!!)((by the future)) Soul Glo,Not Found,Not Found,False
The Thangs I Carry Soul Glo,SOUL GLO,The Thangs I Carry,True
We Wants Revenge Soul Glo,SOUL GLO,We Wants Revenge,True
GODBLESSYALLREALGOOD Soul Glo,SOUL GLO,GODBLESSYALLREALGOOD,True
Virus://Vibrance Vein.fm,Vein.fm,Virus://Vibrance,False
Old Data in a Dead Machine Vein.fm,Vein.fm,Old Data in a Dead Machine,False
Broken Glass Complexion Vein.fm,Vein.fm,Broken Glass Complexion,False
Doomtech Vein.fm,Vein.fm,Doomtech,False
End Eternal Vein.fm,Vein.fm,End Eternal,False
Errorzone Vein.fm,Vein.fm,Errorzone,False
Quitting Infinity Vein.fm,Vein.fm,Quitting Infinity,True
Untitled Vein.fm,Vein.fm,Untitled,False
Good To Feel Candy,Candy,Good to Feel,False
Lust For Destruction Candy,Candy,Lust For Destruction,False
Systematic Death Candy,Candy,Systematic Death,True
Panic Is On Candy,Candy,Panic Is On,False
Distorted Dreams Candy,Candy,Distorted Dreams,False
Burning Water Candy,Candy,Burning Water,False
Joy of Life Candy,Candy,Joy Of Life,False
Human Target Candy,Candy,Human Target,False
Army of Cops Pig Destroyer,Pig Destroyer,Army of Cops,False
Circle River Pig Destroyer,Pig Destroyer,Circle River,False
The Torture Fields Pig Destroyer,Pig Destroyer,The Torture Fields,False
The Adventures of Jason and Jason Jr Pig Destroyer,Pig Destroyer,The Adventures of Jason and JR,False
Mt. Skull Pig Destroyer,Pig Destroyer,Mt. Skull,False
The Last Song Pig Destroyer,Pig Destroyer,The Last Song,False
Limerent Death The Dillinger Escape Plan,The Dillinger Escape Plan,Limerent Death,True
Symptom of Terminal Illness The Dillinger Escape Plan,The Dillinger Escape Plan,Symptom of Terminal Illness,False
Wanting Not so Much to as To The Dillinger Escape Plan,The Dillinger Escape Plan,Wanting Not So Much to As To,False
Lows Feels Blvd The Dillinger Escape Plan,The Dillinger Escape Plan,Low Feels Blvd,False
Honeysuckle The Dillinger Escape Plan,The Dillinger Escape Plan,Honeysuckle,True
Manufacturing Discontent The Dillinger Escape Plan,The Dillinger Escape Plan,Manufacturing Discontent,False
Apologies Not Included The Dillinger Escape Plan,The Dillinger Escape Plan,Apologies Not Included,False
Everyone Talking over Everyone Else Norma Jean,Norma Jean,Everyone Talking Over Everyone Else,False
Forever Hurtling Towards Andromeda Norma Jean,Norma Jean,Forever Hurtling Towards Andromeda,False
"1,000,000 Watts Norma Jean",Norma Jean,"1,000,000 Watts",False
Death is a Living Partner Norma Jean,Norma Jean,Death Is a Living Partner,False
Synthetic Sun Norma Jean,Norma Jean,Synthetic Sun,False
Reaction Norma Jean,Norma Jean,Reaction,False
Be Harder God's Hate,God’s Hate,Be Harder,False
Finish the Job God's Hate,God’s Hate,Finish the Job,True
Six Feet Deep God's Hate,God’s Hate,Six Feet Deep,True
God's Hate God's Hate,Not Found,Not Found,False
Eternity of Hate God's Hate,God’s Hate,Eternity of Hate,False
Violence Unlimited God's Hate,God’s Hate,Violence Unlimited,False
The Valley Beyond (818) God's Hate,Darkthrone,Quintessence,False
War Man God's Hate,God’s Hate,War Man,True
Social Class Warfare God's Hate,God’s Hate,Social Class Warfare,True
The Killing Womb Vein.fm,Vein.fm,The Killing Womb,True
